Category	Term	Count	PValue	Direction	Organ
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	-4	0.063130156	Down	Cortex
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	-5	0.065173551	Down	Cortex
GOTERM_BP_DIRECT	GO:0030301~cholesterol transport	-2	0.066077039	Down	Cortex
GOTERM_BP_DIRECT	GO:0009395~phospholipid catabolic process	-2	0.06897624	Down	Cortex
GOTERM_CC_DIRECT	GO:0030018~Z disc	-3	0.069503802	Down	Cortex
GOTERM_BP_DIRECT	GO:0010596~negative regulation of endothelial cell migration	-2	0.071866589	Down	Cortex
GOTERM_CC_DIRECT	GO:0016327~apicolateral plasma membrane	-2	0.071903667	Down	Cortex
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	-3	0.074495477	Down	Cortex
GOTERM_BP_DIRECT	GO:0015711~organic anion transport	-2	0.07474811	Down	Cortex
GOTERM_BP_DIRECT	GO:0006520~cellular amino acid metabolic process	-2	0.07474811	Down	Cortex
GOTERM_BP_DIRECT	GO:0032094~response to food	-2	0.077620832	Down	Cortex
GOTERM_BP_DIRECT	GO:0006508~proteolysis	-5	0.080637462	Down	Cortex
KEGG_PATHWAY	mmu04976:Bile secretion	-3	0.083220624	Down	Cortex
GOTERM_BP_DIRECT	GO:0006810~transport	-2	0.086186462	Down	Cortex
GOTERM_BP_DIRECT	GO:0019915~lipid storage	-2	0.086186462	Down	Cortex
KEGG_PATHWAY	mmu04922:Glucagon signaling pathway	-3	0.08898459	Down	Cortex
GOTERM_BP_DIRECT	GO:0033344~cholesterol efflux	-2	0.089024248	Down	Cortex
GOTERM_MF_DIRECT	GO:0016829~lyase activity	-3	0.090860368	Down	Cortex
GOTERM_MF_DIRECT	GO:0002020~protease binding	-3	0.091822933	Down	Cortex
KEGG_PATHWAY	mmu05146:Amoebiasis	-3	0.093384531	Down	Cortex
GOTERM_MF_DIRECT	GO:0016597~amino acid binding	-2	0.093447852	Down	Cortex
KEGG_PATHWAY	mmu04931:Insulin resistance	-3	0.097847467	Down	Cortex
